id	text	label
751	"does he mean himself, i wonder?	0
752	lull’d in her lap, amidst a train of loves,	1
753	come up like ocean murmurs. but the scene	0
754	and in a pleasing slumber seals his eyes:	1
755	sweet poesy from heaven	1
756	o, i can ne'er forget	0
757	the leprous corpse, touched by this spirit tender,	2
758	ambrosial odours and ambrosial flowers,	0
759	his sweeter voice a just accordance kept.	1
760	false-faces hung on strings,	-1
761	that in their lives such deadly fray they ne'er had seen before.	-1
762	her not-nice load.	-1
763	unhitched the breeching from a shaft,	0
764	tis that one told us it was life. 'for not	0
765	who fishes in the frog-pond still?	0
766	"as the gods would i see," said sigurd, "though death light up the land."	2
767	which leans over to the lane,	0
768	you hardly know when you are coming back,	0
769	but the great spirit plants it in our hearts,	0
770	nor is he, as some sages swear,	0
771	of his faint steed; the latter, as he stretch’d	0
772	i strive, i pray.	1
773	who god possesseth	0
774	these often bathed she in her fluxive eyes,	0
775	that you or yours, having an appetite,	0
776	the loveliest king of the king-folk, the man of sweetest speech,	1
777	and fears are added, and avenging flame.	-1
778	who felt your own thought worthy of record	1
779	and then, if it should be	0
780	ez though i wanted to enlist 'em,	0
781	behind the sea-wall's rugged length,	0
782	how they will tell the shipwreck	0
783	tis gone past recalling!	0
784	and stiff in fight, but serious drill's despair,	-1
785	one lucent foot's delaying tip	0
786	at his approaching footsteps.  winter came	0
787	till the deaf fury comes your house to sweep!'	-1
788	henceforth to labor's chivalry	0
789	i'll be ther in a minit.	0
790	but now i see, most cruell hee,	-1
791	our lives and safeties all;	0
792	that little barley-cake you keep from him	0
793	our wavering apparitions pass	0
794	and ye who attend her imperial car,	0
795	on the clear mirror of a loving heart,	1
796	how weak this tinkling line,	-1
797	for that’s his specialty. what creature else	0
798	her thoughts are like the lotus	0
799	thou wovest dreams of joy and fear,	2
800	that, following this slight trace,	0
801	but now for me than you—the other way.	0
802	who wrote this modest version i suppose	0
803	--the drones of the community; they feed	0
804	the echoing sounds grow fainter and then cease;	0
805	and make the liveliest monkey melancholy.	-1
806	and, between the river flowing and the fair green trees a-growing,	1
807	you'll not want business, for we need a lot	0
808	still, upon a flower,	0
809	god prosper long our noble king,	1
810	where the moloch of slavery sitteth on high,	-1
811	leave the garden walls, where blow	0
812	it's a pretty early start.	0
813	he takes you from your easy-chair,	0
814	accept the gift which i have wrought	0
815	long-drawn bill of wine and beer	0
816	a crow dot sat a-squawkin', "i's a mockin'-bird."	0
817	a day's experunce 'd prove to ye, ez easy 'z pull a trigger.	0
818	euryalus stood list’ning while he spoke,	0
819	moonstruck with love, and this still thames had heard	1
820	yea, all the world it might be, and all sounds of the earth were stilled	0
821	as hebe's foot bore nectar round	0
822	till, fur 'z i know, there aint an inch thet i could lay my han' on,	0
823	she listening sate.	0
824	from alton bay to sandwich dome,	0
825	even now eclipses the descending moon!--	0
826	some thought of me, a last fond prayer	1
827	ode read at the one hundredth anniversary of the fight at concord bridge	0
828	for wanderings sad and lone.	-1
829	and my white cottage--plain.	0
830	"onaway! my heart sings to thee,	1
831	begins, but endeth nevermore;	0
832	that throng our pilgrimage. its sympathy,	0
833	valentines, paper and tinsel,	0
834	when lips and heart refuse to part again	0
835	waiting the flutter of his homemade fly;	0
836	whereto we claim sole title by our toil,	0
837	our hope, our remembrance, our trust,	1
838	that _she_ should walk beside him on the rocks	0
839	far out, in peace, the white man's sail	0
840	of the bivouac fire apart,	0
841	such civil war is in my love and hate,	2
842	none will forget it till shall fall the deadly dart!	-1
843	that antwerp monks may sing a mass for thy poor spearmen's souls.	0
844	"sir, i have dreamed of you. i pray you, sir,	0
845	the message is not like what i have learned	0
846	the beacon-light that forth they held	0
847	as george commands, let him be wrong or right,	0
848	luck obeys the downright striker; from the hollow core,	0
849	forever quivering o'er his task,	-1
850	radiant as moses from the mount, he stood	1
851	wilt thou our lowly beds with tears of pity lave?'	-1
852	and seek the danger i was forc’d to shun.	-1
853	where your hair from your forehead swerves,	0
854	down the dark future, through long generations,	-1
855	but she always ran away and left	-1
856	with such vehement force and might	-1
857	yet both in different colours hide their art,	0
858	his regal seat, surrounded by his friends.	1
859	thinks i, the down lies dreaming	0
860	vain cries--throughout the streets thousands pursued	-1
861	and all their echoes, mourn;	-1
862	and what then doth he gather? if we know,	0
863	through the salt sea foam,	0
864	does beauty slight you from her gay abodes?	2
865	yet was this period my time of joy:	1
866	from the fair brow; she, rising, only said,	0
867	still must mine, though bleeding, beat;	-1
868	his silent sandals swept the mossy green;	0
869	nightly down the river going,	0
870	their first-born brother as a god.	1
871	but half the secret told,	0
872	and like the others does not slip	0
873	bedaubed with iridescent dirt.	0
874	in town, an' not the leanest runt	-1
875	so thick, she cannot see her lover hiding,	0
876	and so i should be loved and mourned to-night.	2
877	and _channing_, with his bland, superior look,	2
878	the head that lay against your knees	0
879	is shorter than a snake's delay,	0
880	sooner, augustine, sooner far, shall i	0
881	in every health we drink.	0
882	the end of the play.	0
883	by death's frequented ways,	-1
884	how your soft opera-music changed, and the drum and fife were heard in their stead;	2
885	rejection of his humanness	-1
886	to sunset they would sip of the tea, drink of the beer, and eat of the	0
887	to his ears there came a murmur of far seas beneath the wind	0
888	the one good man in the world who knows me, --	1
889	faint voices lifted shrill with pain	-1
890	an', fust you knowed on, back come charles the second;	0
891	in the wild glens rough shepherds will deplore	-1
