,original,perturbed,type,labels
30,"I've had a lot of bad experiences at this store. The employees have been rude so much that I just expect them to roll there eyes when I get deli meat. Lines are long, and there's always a crowd of people hanging out front begging for money, cigarettes, or trying to sell their food stamps. \n\nI have filed a complaint with corporate about this store before and I was contacted by a manager. I do have to say, that this manager really, sincerely cares about this store and customer experience. I talked to him for 20 minutes and he was polite and friendly. His name is Mr. Youngblood, and he urges you to ask for a manager if you're having a bad experience.\n\nProduce selection is terrible, there is not a meat counter in store, and it's just feels dirty. \n\nThis is the only grocery store on the north side, so it's not as easy to \""""just go somewhere else\"""" sometimes when you get off work, you don't want to drive 10 minutes to go to Kuhns on mcknight.","I've had a lot of bad experiences at this boutique. The servants have been rude so much that I just expect them to roll there eyes when I got deli meat. Lines are long, and there's perpetually a crowd of people hanging out front begging for cash, cigarettes, or trying to sell their nourishment stamps. \n\nI have filed a complaint with corporate about this shop before and I was contact by a manger. I do have to say, that this manager truly, truthfully cares about this store and customer experience. I chatted to him for 20 minutes and he was polite and friendly. His naming is Herr. Youngblood, and he urges you to requested for a manger if you're having a bad experience.\n\nProduce choosing is fearsome, there is not a meat counter in shops, and it's just feels salacious. \n\nThis is the only grocery store on the northern side, so it's not as effortless to \""""just go somewhere else\"""" sometimes when you got off collaborate, you don't want to drive 10 minutes to go to Kuhns on mcknight.",Successful,2.4
31,"Great selection of vegan, vegetarian, raw milk, prepared foods, bakery, cheeses and aged beef. Very expensive, trader Joe's and Market district come to mind as a cheaper alternative. Parking at this particular store is a nightmare.","Great selection of vegan, vegetarian, raw milk, prepared foods, bakery, cheeses and aged beef. Very expensive, trader Joe's and Market district come to mind as a cheaper alternative. Parking at this particular storing is a nightmare.",Successful,3.0
32,"Target is one of my favorite stores -- I just love wandering around late at night when the store is quiet -- it's just so therapeutic! This location is now my closest store, so I drop by pretty often.\n\nThis store is pretty average. Inventory and customer service aren't particularly stellar but isn't poor either. I've generally been able to find what I need here and check out pretty quickly. \n\nIn addition to the common pharmacy and photo studio found in most Targets, this location also has an optical department. Of the 10-15 locations in the Pittsburgh area, only this store and the Cranberry store sell glasses. I purchased a pair of glasses and sunglasses through Target Optical three years ago and have been very happy with their product and customer service.","Target is one of my favorite storage -- I just love wandering roundabout late at night when the store is quiet -- it's just so therapeutic! This location is now my closest store, so I tumble by pretty often.\n\nThis shop is pretty average. Inventory and customer service aren't particularly stellar but isn't poor either. I've generally been able to unearth what I needed here and verify out pretty rapids. \n\nIn addition to the common drugstore and images studio found in most Targets, this location also has an optics department. Of the 10-15 placements in the Pittsburgh zoning, only this shops and the Cranberry boutique sell glasses. I bought a pair of eyeglasses and sunglasses through Aims Optical three years ago and have been very happier with their product and customer servicing.",Successful,2.2
33,"I've been informed by a fellow Yelper that they are just closed for the season, I hope they're right! I find it strange they don't keep their phone number in service with a recording and that they didn't cover the course up to protect it from weather, vandalism, etc. Either way, I can't wait to get my game on in the spring!","I've been notified by a fellow Yelper that they are just shut for the season, I hope they're rights! I unearth it strange they don't maintain their phones number in servicing with a recording and that they didn't cover the course up to protections it from weather, vandalism, etc. Either path, I can't await to got my game on in the springs!",Successful,2.2
34,"First off, I will say that I just moved here from California and was a big patron at the Rockbottom in Long Beach. I came to the Homestead location last night eager to see the beer at this location.\n\nNow, Rockbottom is a chain brewery, so a lot was the same... the menu, the food prices (yet beer is cheaper, and I am fine with that). I have always found their food to be pricey, but they use excellent ingredients and it has always been tasty and filling so I am fine with that. The food here was just as good as the Long Beach location, so I have no problem with the chef at all.\n\nService was good, our waitress was very friendly and helpful. I wish that they had asked us if we wanted to sit in the bar since happy hour was still going, but that isn't a big thing. Went to the bar to get a drink and had to wait awhile to get the bartender's attention, but he was very friendly and I got a nice welcome from him and others at the bar when they learned I had just moved here... I really enjoyed that.\n\nBeer: We got the beer sampler to try the whole list... and, well... I found the dark beers a bit lacking in comparison. The light beer and the wheat were amazing, very impressed. The pale was ok, as was the velvet pale that was one of the specials of the night... but both were way too citrusy. The Uppity IPA was very good... I don't usually like IPAs because the hops overpowers all flavor but the brewer had a good balance. Still, couldn't do a whole glass. I felt the Imperial Stout had a bitter burned taste that was overpowering... I almost want to say the batch had too much chocolate malt in it (not ice cream malt, for the non-homebrewers). The brown and amber were decent, but bland. I ended up getting an actual glass of the light beer and was able to finish it all without forcing it.... one point up on Long Beach, who had a good light but the aftertaste got to you before the glass was empty.\n\nI REALLY wanted to try the Das Gut Dopplebock, but they were out. Looks like they will have it in bottles to go soon so I hope I can catch that. Also want to try the Snow Moon Belgian.\n\nVerdict: While I was not too impressed with the dark beers, I found the lighter ones very good and I look forward to trying the other seasonal beers. It is a good hour drive south to get there, so I won't be going too often, but I will be back.","First off, I will say that I just moved here from California and was a big patron at the Rockbottom in Long Beach. I came to the Homestead location last night eager to see the beer at this location.\n\nNow, Rockbottom is a chain brewery, so a lot was the same... the menu, the food costing (yet beer is cheaper, and I am fine with that). I have always found their food to be costly, but they use excellent ingredients and it has always been tasty and filling so I am fine with that. The food here was just as good as the Long Beach location, so I have no problem with the chef at all.\n\nService was good, our waitress was very friendly and advantageous. I wish that they had asked us if we wanted to sit in the bar since happy hour was still going, but that isn't a big thing. Went to the bar to get a drink and had to wait awhile to get the bartender's attention, but he was very friendly and I got a nice welcome from him and others at the bar when they learned I had just moved here... I really enjoyed that.\n\nBeer: We got the beer sampler to try the whole list... and, well... I found the dark beers a bite lacking in comparisons. The light beer and the wheat were surprising, very impressed. The pale was ok, as was the velvet pale that was one of the specials of the night... but both were way too citrusy. The Uppity IPA was very good... I don't usually like IPAs because the hops overpowers all flavor but the brewer had a good balances. Still, couldn't do a whole glass. I felt the Imperial Stout had a bitter burned taste that was overpowering... I almost want to say the batch had too much chocolate malt in it (not ice cream malt, for the non-homebrewers). The brown and amber were decent, but bland. I ended up getting an actual glass of the light beer and was able to finish it all without forcing it.... one point up on Long Beach, who had a good light but the aftertaste got to you before the glass was hollow.\n\nI REALLY wanted to try the Das Gut Dopplebock, but they were out. Looks like they will have it in bottles to go soon so I hope I can catch that. Also want to try the Snow Moon Belgian.\n\nVerdict: Although I was not too impressed with the dark beers, I discovered the lighter ones very good and I look forward to trying the other seasonal beers. It is a good hour drive south to get there, so I won't be going too frequently, but I will be back.",Successful,2.4
35,"Nice staff but apparently there is little manager oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my food being fourth on the \""""to do\"""" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.","Nice staffing but apparently there is little manger oversight around 3:28am.\n\nI do like this place.  It must be nice to work somewhere that allows you to choose your own tasks.  Like smoking, sitting and texting.  I'm fine with cooking my diet being fourth on the \""""to do\"""" list because there is no where else togo really....\n\nWhy didn't they answer me at the drive through? I think they wanted me to come inside because my girlfriend and I are really really really good looking.\n\nThis was annoying but understandable.",Successful,2.6
36,"Regarding quality of beverage, this is just your average Starbucks. I can't complain but am not blown away either. However, I really like the location of this shop, which is located in the center of The Waterfront's specialty retail shops. Though in the midst of a lot of retail, the surrounding area is very picturesque with pretty green grass, flowers, and a fountain. Hanging out here is very relaxing.","Concerning quality of beverages, this is just your averages Starbucks. I can't complain but am not blown away either. However, I really like the location of this store, which is located in the centering of The Waterfront's specialties retail shops. Albeit in the midst of a batch of retail, the surrounding area is very scenic with quite green grass, flowers, and a fountain. Hanging out here is very relaxing.",Successful,2.8
37,"So after an evening of enjoying a comedy show at the Waterfront, we headed to Rock Bottom for some late night grub.  The place was pretty busy, we had to walk around the bar area for several minutes until a nice couple told us they were about to leave and we could have their bar table.  As nice as this was of them it was awkward standing over them as they finished their drinks paid their bill and left.  \n\nSo finally seated I look over the drinks and being the huge IPA lover that I am I went with that and it was indeed a good choice.  The hubby had the Red Ale which was also rather good.\n\nThe service was OK, not the best not the worst.  But moving on to more important thing, the food.  Talk about missing the mark hugely!  I ordered the mini street fish tacos.  You get four mini tacos with a marinated in lime piece of fish, and tomatillo salsa.  They were just strokes away from inedible.  I love fish tacos, I mean it is such a simple concept so why do people have such a hard time executing this dish? The shells were hard and literally split at the bottom when I picked them up.  The sour cream sprayed all over the plate only made them messy and the poor fish was just so overcooked.  If I wasn't so hungry I wouldn't have eaten them at all! Lesson learn on that.\n\nThe husband had the BBQ Chicken Pizza.  It had beans and corn with roasted red pepper on it along with some sour cream.  My husband is usually the type that will order these lovely specialty pizza's and ask for them to remove all the wonderful unique toppings!  For instance, he would usually just say, Chicken BBQ and cheese, nothing else!  I refused to let him do that this time, because I was really intrigued in the combination of ingredients on this pie.  And boy was I jealous when it came out.  It blew my crappy tacos out of the water!  Should have stuck with something simple.  \n\nFurthermore I could care less if I come back to this location.  The beers were good but hell you can get a decent IPA just about anywhere anymore.  And the underwhelming food sealed the deal.  I know this is a chain, but it still doesn't have to stink...","So after an evening of enjoying a comedy displays at the Waterfront, we steered to Rock Bottom for some late nightly grub.  The placing was pretty busy, we had to walk about the bar spheres for assorted minutes until a nice coupling tell us they were about to leaving and we could have their bar table.  As nice as this was of them it was awkward standing over them as they finish their beverages paid their bills and left.  \n\nSo finally sitting I gaze over the drinks and being the overwhelming IPA lover that I am I went with that and it was indeed a good choosing.  The hubby had the Red Ale which was furthermore rather good.\n\nThe servicing was OK, not the best not the lousiest.  But moving on to more important thing, the nourishment.  Discussions about missing the marked highly!  I ordered the mini street fishes tacos.  You got four mini tacos with a marinated in lime piece of fishes, and tomatillo salsa.  They were just strokes away from inedible.  I loved fishes tacos, I mean it is such a simple concept so why do people have such a hard time executes this dish? The shells were tough and literally divides at the bottom when I chosen them up.  The sour cream sprayed all over the plate only made them messy and the poor fishes was just so overcooked.  If I wasn't so hungry I wouldn't have consumed them at all! Lesson learnt on that.\n\nThe husband had the BBQ Chicken Pizza.  It had beans and corn with roasted red pepper on it along with some sour cream.  My husband is generally the typing that will edict these ravishing specialization pizza's and request for them to delete all the superb exclusive trimmings!  For cases, he would traditionally just say, Chicken BBQ and cheese, nothing otherwise!  I refuse to let him do that this time, because I was genuinely intrigued in the combination of elements on this pie.  And boy was I jealous when it came out.  It blew my crappy tacos out of the water!  Should have wedged with anything simple.  \n\nFurthermore I could care fewer if I come back to this location.  The beers were good but inferno you can get a decent IPA just about everywhere plus.  And the underwhelming diet seal the deal.  I know this is a string, but it still doesn't have to stink...",Successful,2.0
38,"I have a general rule of thumb when picking out an auto repair shop:\n\nThe \""""office\"""" must be very messy and grease and dirt must be everywhere.  \n\nIn my opinion, if an auto shop has the time and money to keep a squeaky clean appearance, they're wasting some of your money you pay for service.  Walter's Automotive fits the bill with their \""""office\"""" being a small cluttered desk in the service bay.  Their \""""lobby\"""" is the doorway that you stand in just outside the \""""office.\""""  I couldn't be happier with my first impressions--to me, minimal overhead means maximum service and value.\n\nSure enough everyone at Walter's is very nice and helpful.  Apparently, everyone else in Pittsburgh knows this since I have to schedule an appointment 10 days in advance just to get my car inspected.  So please, even though Walter's is awesome, don't come here--I want this place to myself.","I have a general rule of thumb when picking out an auto repair shop:\n\nThe \""""office\"""" must be very messy and grease and dirt must be everywhere.  \n\nIn my opinion, if an auto shop has the time and money to keep a squeaky clean appearance, they're wasting some of your money you pay for service.  Walter's Automotive fits the bill with their \""""office\"""" being a small cluttered desk in the service bay.  Their \""""lobby\"""" is the doorway that you stand in just outside the \""""office.\""""  I couldn't be happy with my first impressions--to me, minimal overhead means maximum service and value.\n\nSure sufficiently everyone at Walter's is very nice and helpful.  Apparently, everyone else in Pittsburgh knows this since I have to schedule an appointment 10 days in advance just to get my car inspected.  So please, even though Walter's is awesome, don't come here--I want this place to myself.",Successful,2.2
39,Food is Shitty probably would be good if they had a cook that knew how to cook it correctly.  Staff is ok no complaints drinks are good as well,Diet is Crappy probably would be good if they had a cookery that knew how to cookery it correctly.  Staff is ok no complaints drinks are good as well,Successful,2.6
40,"My beer distributor of choice - and there are others located closer to me.\n\nLet's be clear, it is no frills, cases of beer stacked up, limited cases in the cooler.  Selection is ok - if I were looking for something obscure - I wouldn't count on them having it.\n\nBut they are helpful and efficient.  They have convenient hours and parking**.  Also they helped me out in a keg emergency that saved a party.  Service in a jam earns my loyalty.\n\n**Note - most of their customers have no idea how to park in said parking lot.","My beer distributor of chooses - and there are others located closer to me.\n\nLet's be unambiguous, it is no frills, instance of beer stacked up, limited cases in the cooler.  Selection is ok - if I were looking for something obscure - I wouldn't count on them having it.\n\nBut they are helpful and effectiveness.  They have convenient hours and parking**.  Also they helped me out in a keg emergency that saved a party.  Servicing in a jam earn my loyalty.\n\n**Note - most of their customers have no thoughts how to park in said parking lot.",Successful,2.6
41,"i was super excited to try quiet storm when i moved to pittsburgh because all of the reviews i read were fantastic.  however, i have visited multiple times now continuously hoping for improvement and each time i've been disappointed.  let's start with the good things.  QS has a great atmosphere, it definitely helped the transition from austin.  very chill \""""hippie\"""" vibe.  however, the servers although friendly can  sometimes be a touch \""""hippie-elitest\"""".  the food was alright.  their homefries were quite tasty but little else has tantalized my taste buds and i have tried many things.  i do love their thai dressing, very yummy on the salads.  will i continue to go back?  probably, wishful thinking is  a good thing.","i was super excited to attempting tranquility storm when i moved to pittsburgh because all of the reviews i read were fantastic.  however, i have visited many times now constantly hoping for refinements and each time i've been frustrated.  let's startup with the good things.  QS has a tremendous ambience, it definitely assistance the transition from austin.  very chill \""""hippie\"""" vibe.  nonetheless, the servers though friendly can  sometimes be a touching \""""hippie-elitest\"""".  the diet was alright.  their homefries were quite yummy but small otherwise has tantalized my tasting buds and i have attempted many things.  i do love their thai dressing, very tasty on the salads.  will i continue to go back?  probably, wishful thinking is  a good thing.",Successful,2.2
42,"I prefer this store to the Market District on Centre. It's just as overpriced and poorly laid out and maybe a bit grimy, but carries less products to sift through when you just need to grab some simple things, hopefully not produce. Parking is easy and you can hit up the unpretentious Wine and Spirits in the same stop. I think this plaza still exists to prevent impoverished people from venturing into the other newer fancier stores which are a mere half mile away and designed to appeal to people who think they are cultured and discerning.","I prefer this store to the Market Arrondissement on Centre. It's just as overpriced and poorly laid out and maybe a bit grimy, but carries fewer merchandise to sift through when you just need to grab some simple things, hopefully not produce. Parking is easy and you can strike up the unpretentious Wine and Spirits in the same stop. I think this plaza still exists to prevent impoverished people from venturing into the other newer fancier stores which are a mere half mile away and designed to appeal to people who think they are cultured and discerning.",Successful,2.2
43,"I cannot in my life understand why this Giant Eagle, of all the Giant Eagles, would get a five star rating.  From the moment you walk into here it's like someone has hit you on the head very hard and you walk around in a confused state the rest of the time you're in there.\n\nThe set up is ridiculous.  I mean, who wants to walk around in the freezer section and then go through a smaller than usual end of the aisle to see, SURPRISE, the meat section hidden off in an area where they could have knocked down the wall so you didn't have to do a little dance to get to it.  Aisles seem extra long in this store, you can tell that they worked with the space they had.  It's like when you are half way through the aisle and realize it's too late to turn around because it's the same distance to the end as it was to the beginning of the aisle, but you kind of just want to give up and sit on the floor because you feel like you've been walking forever.  \n\nHonestly, I only went here because I was at Target and didn't want to venture any further to complete my shopping.","I cannot in my vie fathom why this Giant Eagle, of all the Giant Eagles, would get a five star rating.  From the moment you walk into here it's like someone has hit you on the head very tough and you walk circa in a bewildered state the resting of the time you're in there.\n\nThe set up is farcical.  I mean, who wants to walk about in the freezer section and then go through a minor than usual end of the passageway to behold, SURPRISE, the meat section hidden off in an area where they could have knocked down the wall so you didn't have to do a small dance to get to it.  Aisles seem additional lengthy in this store, you can tell that they worked with the space they had.  It's like when you are half path through the passageway and realizing it's too late to turn around because it's the same distancing to the ends as it was to the beginnings of the gangway, but you kind of just want to give up and sit on the floor because you feel like you've been walking forever.  \n\nHonestly, I only went here because I was at Targeted and didn't wanting to venture any further to completing my shopping.",Successful,2.2
44,"I was determined to let this one pass (experience was not worth commentary) until I made a disturbing discovery...\n\nI made a reservation for inside. They sat us outside. That turned out to be preferable to us because the tables that WERE available inside were very close to others. The patio was spacious and decorated with busts, slightly preferable to the inner cheap.trendy.interiors.com shit. Have you seen the terrible bathroom wallpaper borders? Probably not, as the ladies room is a very dim place; don't expect to be able to notice that your botox implant is crooked. Anyway, It was HOT under the Space-Ray heater on the patio, making for a sweaty and ice-instantly-melted beverage winter night. The food was alright with some interesting flavor pairings, but it was certainly not quite worth the price. The bread was the best I've had in Pittsburgh. Our server made it seem that everything she was doing was somebody else's job, in fact, it was mostly other people who delivered, which made it confusing in terms of knowing who to ask for things and whether or not to factor some of the fine service into the tip that presumably goes mostly to the primary server who was sub-par for upscale dining; our question for the kitchen left unanswered, \""""the host is supposed to do that but I will...\"""" Run on. When I described the qualities I was looking for in my wine choice during beverage inquiry, she just stared blankly and waited for me to decide. The wine list did not include descriptions. The gal who delivered the wine thankfully did describe it before popping the top and it was determined that I did not want this cheapest option before me! She described another bubbly that sounded and was, according to my own tastes, delightful. \n\nI was so very satisfied with the sparkling sensation of the meal that I sought it out at the Wine and Spirits store. This was the moment that my minor disappointment in the value of my special-occasion dinner at Casbah turned into a feeling of devastating violation. I am talking about a 400% markup on the retail price of this wine. If you want to do your own math: at Casbah the 1/2 bottle of Gruet Blanc Du Noirs cost $35, while a WHOLE bottle at W&S is priced at $16.99. You can bet that I will choose to enjoy this wine elsewhere, like Avenue B (byob), next time. \n\nCasbah is lacking the quality service, honesty and original ambiance that should accompany creative food at moderately high prices.\n\n**Update: I recently saw a full size bottle of the Gruet on a restaurant menu for $30; Casbah, take a tip!","I was determined to letting this one pass (experiences was not worth comment) until I made a worrying discovering...\n\nI made a reserve for internal. They sat us exterior. That turned out to be preferable to us because the tables that WERE accessible internal were very shutting to others. The patio was spacious and adorned with busts, slightly preferable to the inner cheap.fashionable.inside.com crap. Have you seen the fearsome bathroom wallpaper borders? Probably not, as the ladies rooms is a very dim placing; don't expect to be able to notifications that your botox implant is crooked. Anyway, It was SCORCHING under the Space-Ray heater on the patio, making for a sweaty and ice-instantly-melted beverages winter night. The dietary was okay with some interesting flavor pairings, but it was doubtless not quite worth the pricing. The bread was the best I've had in Pittsburgh. Our servers made it seems that everything she was doing was anybody else's jobs, in fact, it was mostly other people who delivered, which made it confusing in terms of knowing who to request for things and whether or not to factored some of the fine service into the tip that probably goes mainly to the primordial server who was sub-par for upscale supper; our question for the kitchen left unanswered, \""""the host is supposed to do that but I will...\"""" Run on. When I described the qualities I was looking for in my vino picks during beverages investigations, she just gazed blankly and awaited for me to deciding. The vino lists did not including description. The gal who delivered the vino thankfully did portray it before popping the top and it was determined that I did not wanna this cheapest options before me! She outlined another bubbly that sounded and was, conforming to my own tastes, delightful. \n\nI was so very satisfied with the sparkling sensation of the meals that I aspired it out at the Vino and Spirits stores. This was the moment that my marginal disillusionment in the value of my special-occasion dinners at Casbah turned into a feeling of destructive infractions. I am conversation about a 400% markup on the retail cost of this wine. If you want to do your own calculus: at Casbah the 1/2 bottle of Gruet Blanc Du Noirs pricing $35, while a WHOLE bottle at W&S is priced at $16.99. You can bet that I will choices to enjoy this wine elsewhere, like Avenue B (byob), next time. \n\nCasbah is lacking the quality service, honesty and original ambiance that should accompany creative food at moderately high prices.\n\n**Update: I recently saw a full size bottle of the Gruet on a restaurant menu for $30; Casbah, take a tip!",Successful,2.2
45,"We stopped by for the first time on a cold Friday night around 9:30. We made sure to have reservations, as the place is pretty small. It's BYOB and we didn't bring our own wine because we weren't in a drinking mood, but once we sat down we realized this was the kind of place where you needed a bottle of wine. The decor is like an slightly charming mess of old furniture, clean table clothes, and scarves draped over the windows of the converted garage. We sat right by the door and right under the old dresser that the owners stand at. \n\nThe food was good. We ordered the tomato garlic bisque, which was delicious. The stuffed peppers with crab and goat cheese were tasty, but the plate was super hot and the peppers were cold, so that was a bit off. For main courses we ordered the salmon and the lobster ravioli. The salmon was great. It w cooked well and had a dill cream sauce on it. It was supposed to be served with risotto, but instead came with a dried cake of old creamy looking rice. I ignored that and ate the steamed and grilled veggies they used to garnish the plate. The lobster ravioli was amazing, but instead of coming in it's own sauce, they simply poured on the tomato garlic bisque that we had already ordered as a first course. After reading mixed reviews about this place, I was pleasantly surprised, \n\nThis place was a hot mess with slightly cold food, but I really liked it.","We stopped by for the first time on a chilly Friday night around 9:30. We made sure to have reservations, as the place is quite little. It's BYOB and we didn't bring our own wine because we weren't in a drinking mood, but once we sat down we realized this was the genre of placing where you required a bottle of wine. The decor is like an slightly cute mess of old furniture, clean table clothes, and scarves draped over the windows of the converted garage. We sat right by the door and rights under the old dresser that the owners stand at. \n\nThe dietary was good. We ordered the tomato garlic bisque, which was appetizing. The stuffed peppers with crab and goat cheese were tasty, but the plate was super scorching and the peppers were cold, so that was a bite off. For main courses we decreed the salmon and the lobster ravioli. The salmon was grand. It w cook well and had a dill cream sauce on it. It was supposed to be served with risotto, but instead came with a dried cake of old creamy looking rice. I overlooked that and ate the steamed and toasted veg they used to garnish the plating. The lobster ravioli was startling, but instead of coming in it's own sauce, they merely poured on the tomato garlic bisque that we had already ordered as a first course. After reading blended reviews about this placing, I was delightfully dumbfounded, \n\nThis place was a scorching mess with slightly cold food, but I really liked it.",Successful,2.4
46,"Went on a Saturday, 2 hour wait. food is good, I got some seafood gumbo to go and I won't do that again. Seemed like it didn't have any seafood in it.","Went on a Saturday, 2 hour wait. food is good, I get some seafood gumbo to go and I won't do that again. Seemed like it didn't have any seafood in it.",Successful,3.6
47,"Tim is fantastic with German cars, including my 2003 3-series BMW, which was out the door for 400 - broken axle, oil change, tire rotation and one other thing. Labor prices are reasonable, it's just hard as hell to get an appointment. If he weren't so damn nice (like doing all sorts of free things for people) he could probably have himself a bigger, better garage and more people working for him.","Tim is beautiful with German cars, include my 2003 3-series BMW, which was out the door for 400 - broken axle, oil alter, tire rotation and one other thing. Labor cost are rational, it's just arduous as hell to get an appointing. If he weren't so damn nice (like doing all sorts of extricate things for people) he could probably have himself a larger, better garage and more people working for him.",Successful,2.4
48,"Good food, great service, but high prices.\n\nMy date and I shared 2 appetizers, a salad and each had an entree with the recommended wine pairings. Bill was $115 without tax--pricey by my standards for this experience. The new tuna tartare appetizer was the highlight of our night. The bruschetta with fig and grape butter, prosciutto and blue cheese was good, so was the beet salad.\n\nWe were disappointed with our entrees. My roasted duck breast with spinach and gnocchi was not hot. My date had the salmon with potato fennel puree, which she said tasted fishy.\n\nMake sure you aren't seated inside the tent where patrons are eating on a slope on outdoor metal tables--this is not my idea of a good dinner at this price range.\n\nAlthough I would come here again, there are certainly much better restaurants in the city. I would rank Casbah below Eleven within the Big Burrito group of restaurants.","Good food, tremendous service, but high price.\n\nMy dates and I share 2 appetizers, a salad and each had an entree with the recommends wine pairings. Invoice was $115 without tax--pricey by my standards for this experience. The newest tuna tartare appetizer was the highlighting of our nightly. The bruschetta with fig and grape butter, prosciutto and blue cheese was good, so was the beet salad.\n\nWe were frustrated with our entrees. My toast duck bosom with broccoli and gnocchi was not scorching. My dating had the salmon with apples fennel puree, which she says tasted fishy.\n\nMake sure you aren't seated interiors the tent where patrons are eating on a slope on outdoor metal tables--this is not my thoughts of a good lunch at this costing ranging.\n\nAlthough I would come here again, there are admittedly much better catering in the city. I would rank Casbah below Eleven within the Grands Burrito cluster of restaurants.",Successful,2.6
49,"I haven't been here in awhile, but I definitely miss it. They do hold slightly odd hours as it is a mom and pop joint and they are definitely more of a breakfast place than anything else. Their omelettes are to die for. I'm also a huge fan of their potatoes for breakfast and especially with their gravy. Yum!\nMy boyfriend is more of a burger person but he loves their burgers and fries. They have a few breakfast specials that are just as awesome\nIt is very small. And they do not take reservations to my knowledge. If you go on a Sunday morning you will def be waiting for a table.\nThey never used to accept cards but to my knowledge they recently have begun taking credit cards which is a big plus. This is definitely a mom and pop place you need to try.","I haven't been here in awhile, but I decidedly miss it. They do hold slightly odd hours as it is a moms and pop joint and they are definitely more of a breakfast place than anything else. Their omelettes are to die for. I'm also a huge fan of their potatoes for breakfast and principally with their gravy. Yum!\nMy boyfriend is more of a burger persons but he loves their burgers and fries. They have a few breakfast specials that are just as resplendent\nIt is very small. And they do not take booking to my knowledge. If you go on a Monday morning you will def be waits for a table.\nThey never utilize to accept cards but to my knowledge they recently have commenced taking credit cards which is a big anymore. This is decidedly a mum and pops placing you needed to attempt.",Successful,2.8
50,"Made a reservation on opentable for Friday at 6pm.  It wasn't packed at all but the hostess decided to sit us outside without asking where we'd prefer to sit. It was really hot that day so it was pretty uncomfortable. \n\nI immediately noticed that a lot of CMU undergrads worked there. While I was dining there I saw 3 CMU classmates. \n\nI started off with the gazpacho and it was very tasty. We were also given some bread with a lavender goat cheese spread. The spread was ok. \n\nFor the entrees I got the roasted pepper cavereccia that had crab in it and ricotta cavatelli with sausage.\n\nFor the cavereccia I thought there was going to be big chunks of crab but I was disappointed to see that the crab was shredded into small pieces. The pasta was a little undercooked and the sauce was ok.\n\nThe cavatelli was extremely oily. The more you ate it the more you saw the pool of oil it was swimming in. I had to wipe some of the oil off the pasta. \n\nLastly I had the dark chocolate raspberry bread pudding. It was pretty good but I wish there were more raspberries in it. \n\nService was pretty good and the decor outside was nice, although, it got really stuffy in the outdoor tent. \n\nThis place is pretty expensive and based on the food I wouldn't go back for that price.","Made a reserving on opentable for Friday at 6pm.  It wasn't packed at all but the hostess decided to sitting us outside without requests where we'd prefer to sit. It was really hot that day so it was pretty uncomfortable. \n\nI immediately noticed that a lot of CMU undergrads collaborated there. While I was dining there I saw 3 CMU classmates. \n\nI launches off with the gazpacho and it was very tasty. We were also given some bread with a lavender goat cheese spread. The spreading was okay. \n\nFor the entrees I get the grilled pepper cavereccia that had crabs in it and ricotta cavatelli with sausage.\n\nFor the cavereccia I think there was going to be big chunks of crab but I was disappointed to see that the crab was shredded into small slices. The pasta was a little undercooked and the sauce was ok.\n\nThe cavatelli was supremely fatty. The more you ate it the more you saw the pool of oil it was swim in. I had to wipe some of the oil off the pasta. \n\nLastly I had the dark chocolate raspberry bread pudding. It was quite good but I wish there were more raspberries in it. \n\nService was pretty good and the decor outside was nice, although, it got really stuffy in the outdoor tent. \n\nThis place is pretty expensive and based on the diet I wouldn't go back for that costing.",Successful,2.6
51,It's the same Panera food you've had before.  I like the other ones better as they are often  faster at preparing food than this one.  That said the food is fine and the staff is nice enough.\n\nThey have warm cookies for $2.00.  That is a nice feature.,It's the same Panera food you've had before.  I like the other ones better as they are often  faster at preparing food than this one.  That said the food is fined and the staff is nice enough.\n\nThey have warm cookies for $2.00.  That is a nice feature.,Successful,2.8
